candidate_status,source_name,source_type,source_tier,title,publication_or_organisation,publication_date_text,access_date,url,canonical_url,external_id,publicness_status,rights_access_status,narrative_type,secondary_role,australian_relation,humanoid_basis,source_label,location_text,location_role,latitude,longitude,location_precision,geocode_source,geocode_verification_status,coordinate_evidence_note,duplicate_check_status,quality_class,ethics_review_status,cultural_sensitivity,acceptance_decision,rejection_reason,evidence_summary
accepted,Australian Broadcasting Corporation,institutional_media_page,A,The spooky Aussie folklore of Fisher's Ghost,ABC; Nightlife,2026-06-02,2026-06-22,https://www.abc.net.au/listen/programs/nightlife/the-spooky-aussie-fokelore-of-fishers-ghost/106751534,https://www.abc.net.au/listen/programs/nightlife/the-spooky-aussie-fokelore-of-fishers-ghost/106751534,abc:106751534:campbelltown,public_media_page,public_access_short_excerpt_only,apparition_account,place_first_public_media_record,Exact ABC public media hits naming Australian ghost-story locations; accepted rows require place text and strong ghost/apparition evidence.,explicit_supernatural_or_anomalous_person_form_agent,ghost,"Campbelltown, NSW",apparition_location,-34.0737892,150.8536614,town,nominatim_openstreetmap_state_checked_abc_place_2026-06-22,verified_gazetteer_point,"ABC text names `Campbelltown` in a ghost/supernatural context; gazetteer result state-checked as Campbelltown City Council, Campbelltown, New South Wales, 2560, Australia.",abc_canonical_url_external_id_and_excerpt_hash_checked,B,public_media_context_reviewed,low,accepted,,"The spooky Aussie folklore of Fisher's Ghost The Legend of Fisher’s Ghost is one of Australia’s most intriguing tales of folklore. The Legend of Fisher’s Ghost is one of Australia’s most intriguing tales of folklore. Originating in Campbelltown, NSW, the 1826 yarn tells of a murdered farmer whose apparition guided authorities to his hidden body, resulting in the conviction of his killer. Michael Adams joins Philip Clark for a spooky retelling of the tale on Nightlife History. podcast forlisten fisher's ghost The spooky Aussie folkelore of Fisher's Ghost 1826 yarn tells of a murdered farmer intriguing tales of folklore nightlife abcradio philipclark nightlifehistory"
accepted,Australian Broadcasting Corporation,institutional_media_page,A,"Finance News, Nightlife News Breakdown, History of Fisher's Ghost, Teck Talk, The Mighty Challenge, Issues",ABC; Nightlife,2026-06-02,2026-06-22,https://www.abc.net.au/listen/programs/nightlife/nightlife/106737102,https://www.abc.net.au/listen/programs/nightlife/nightlife/106737102,abc:106737102:campbelltown,public_media_page,public_access_short_excerpt_only,apparition_account,place_first_public_media_record,Exact ABC public media hits naming Australian ghost-story locations; accepted rows require place text and strong ghost/apparition evidence.,explicit_supernatural_or_anomalous_person_form_agent,ghost,"Campbelltown, NSW",apparition_location,-34.0737892,150.8536614,town,nominatim_openstreetmap_state_checked_abc_place_2026-06-22,verified_gazetteer_point,"ABC text names `Campbelltown` in a ghost/supernatural context; gazetteer result state-checked as Campbelltown City Council, Campbelltown, New South Wales, 2560, Australia.",abc_canonical_url_external_id_and_excerpt_hash_checked,B,public_media_context_reviewed,low,accepted,,"Finance News, Nightlife News Breakdown, History of Fisher's Ghost, Teck Talk, The Mighty Challenge, Issues Finance News, Nightlife News Breakdown, History of Fisher's Ghost, Teck Talk, The Mighty Challenge, Issues of the Day. First Hour - Nightlife Finance - Nick Bruining, independent financial adviser, joins Nightlife regularly to talk about the ever-changing world of business and finance and what these changes mean. Second Hour - Nightlife News Breakdown - Almost three million Australians who are low-paid workers will receive a wage increase. That means the new national minimum wage will be $26.44 per hour. And Labor backbencher Ed Husic has once again broken ranks with the Albanese government's public stance, this time on AUKUS, demanding a."
accepted,Australian Broadcasting Corporation,institutional_media_page,A,Australia's Most Haunted,ABC; The Ark,2006-11-12,2026-06-22,https://www.abc.net.au/listen/programs/ark/australias-most-haunted/3360028,https://www.abc.net.au/listen/programs/ark/australias-most-haunted/3360028,abc:3360028:monte-cristo-homestead,public_media_page,public_access_short_excerpt_only,apparition_account,place_first_public_media_record,Exact ABC public media hits naming Australian ghost-story locations; accepted rows require place text and strong ghost/apparition evidence.,explicit_supernatural_or_anomalous_person_form_agent,most_haunted,"Monte Cristo Homestead, NSW",apparition_location,-34.8682927,147.5758032,exact_site,nominatim_openstreetmap_state_checked_abc_place_2026-06-22,verified_gazetteer_point,"ABC text names `Monte Cristo Homestead` in a ghost/supernatural context; gazetteer result state-checked as Monte Cristo Homestead, 1, Homestead Lane, Junee North, Junee, New South Wales, 2663, Australia.",abc_canonical_url_external_id_and_excerpt_hash_checked,B,public_media_context_reviewed,low,accepted,,"Australia's Most Haunted Tim the Yowie Man shares 15 years of investigation into the most mysterious and haunted places in Australia. Tim the Yowie Man shares 15 years of investigation into the most mysterious and haunted places in Australia. Rachael Kohn: The Monte Cristo Homestead in Junee, New South Wales, is the most haunted house in Australia, according to Tim the Yowie Man. This is The Ark, on ABC Radio National, with me, Rachael Kohn. This week, 'The Steve Irwin of Spooks' tells us some tall tales from the city to the outback. Monte Cristo is just one of the places people feel a shiver going up their spine: phantom piano playing, apparitions at the foot of the bed, a chill in the air. They've all been reported. But spooks don't just scare."
accepted,Australian Broadcasting Corporation,institutional_media_page,A,Australia's Most Haunted,ABC; The Ark,2006-11-12,2026-06-22,https://www.abc.net.au/listen/programs/ark/australias-most-haunted/3360028,https://www.abc.net.au/listen/programs/ark/australias-most-haunted/3360028,abc:3360028:junee,public_media_page,public_access_short_excerpt_only,apparition_account,place_first_public_media_record,Exact ABC public media hits naming Australian ghost-story locations; accepted rows require place text and strong ghost/apparition evidence.,explicit_supernatural_or_anomalous_person_form_agent,most_haunted,"Junee, NSW",apparition_location,-34.8150256,147.6726750,town,nominatim_openstreetmap_state_checked_abc_place_2026-06-22,verified_gazetteer_point,"ABC text names `Junee` in a ghost/supernatural context; gazetteer result state-checked as Junee Shire Council, New South Wales, 2663, Australia.",abc_canonical_url_external_id_and_excerpt_hash_checked,B,public_media_context_reviewed,low,accepted,,"Australia's Most Haunted Tim the Yowie Man shares 15 years of investigation into the most mysterious and haunted places in Australia. Tim the Yowie Man shares 15 years of investigation into the most mysterious and haunted places in Australia. Rachael Kohn: The Monte Cristo Homestead in Junee, New South Wales, is the most haunted house in Australia, according to Tim the Yowie Man. This is The Ark, on ABC Radio National, with me, Rachael Kohn. This week, 'The Steve Irwin of Spooks' tells us some tall tales from the city to the outback. Monte Cristo is just one of the places people feel a shiver going up their spine: phantom piano playing, apparitions at the foot of the bed, a chill in the air. They've all been reported. But spooks don't just scare."
accepted,Australian Broadcasting Corporation,institutional_media_page,A,On a hill in Junee sits Monte Christo: Australia's most haunted house,ABC; Mornings,2021-04-13,2026-06-22,https://www.abc.net.au/listen/programs/newcastle-mornings/australias-most-haunted-house/13309560,https://www.abc.net.au/listen/programs/newcastle-mornings/australias-most-haunted-house/13309560,abc:13309560:junee,public_media_page,public_access_short_excerpt_only,apparition_account,place_first_public_media_record,Exact ABC public media hits naming Australian ghost-story locations; accepted rows require place text and strong ghost/apparition evidence.,explicit_supernatural_or_anomalous_person_form_agent,most_haunted,"Junee, NSW",apparition_location,-34.8150256,147.6726750,town,nominatim_openstreetmap_state_checked_abc_place_2026-06-22,verified_gazetteer_point,"ABC text names `Junee` in a ghost/supernatural context; gazetteer result state-checked as Junee Shire Council, New South Wales, 2663, Australia.",abc_canonical_url_external_id_and_excerpt_hash_checked,B,public_media_context_reviewed,low,accepted,,"On a hill in Junee sits Monte Christo: Australia's most haunted house ""I'm not afraid of ghosts"" you say as you enter the doors of the Monte Christo homestead in Junee. So what do you find as you explore Australia's most haunted house? Step inside if you dare! Hear the stories of strange encounters and ghosts that lie within the Monte Christo homestead, some say it's the most haunted house in Australia!"
